true_minority_mode_share,annotation_count_k,probability_observe_at_least_one_minority,probability_observe_at_least_two_minority,interpretation
0.05,4,0.1854937500000001,0.0140187500000001,second_mode_support_at_least_two_detection_under_independent_sampling
0.05,5,0.2262190625000002,0.0225925000000002,second_mode_support_at_least_two_detection_under_independent_sampling
0.05,8,0.3365795687109377,0.0572446502734378,second_mode_support_at_least_two_detection_under_independent_sampling
0.05,10,0.4012630607616213,0.0861383558993167,second_mode_support_at_least_two_detection_under_independent_sampling
0.05,12,0.4596399123373633,0.1183598569714874,second_mode_support_at_least_two_detection_under_independent_sampling
0.05,20,0.6415140775914581,0.2641604750561508,second_mode_support_at_least_two_detection_under_independent_sampling
0.05,22,0.676466455026291,0.3018486661093646,second_mode_support_at_least_two_detection_under_independent_sampling
0.1,4,0.3439,0.0522999999999999,second_mode_support_at_least_two_detection_under_independent_sampling
0.1,5,0.4095099999999999,0.0814599999999999,second_mode_support_at_least_two_detection_under_independent_sampling
0.1,8,0.5695327899999999,0.1868952699999998,second_mode_support_at_least_two_detection_under_independent_sampling
0.1,10,0.6513215599,0.2639010708999998,second_mode_support_at_least_two_detection_under_independent_sampling
0.1,12,0.7175704635189999,0.3409977482109997,second_mode_support_at_least_two_detection_under_independent_sampling
0.1,20,0.8784233454094307,0.6082530018748321,second_mode_support_at_least_two_detection_under_independent_sampling
0.1,22,0.9015229097816388,0.6608011336923115,second_mode_support_at_least_two_detection_under_independent_sampling
0.2,4,0.5903999999999999,0.1807999999999998,second_mode_support_at_least_two_detection_under_independent_sampling
0.2,5,0.6723199999999999,0.2627199999999998,second_mode_support_at_least_two_detection_under_independent_sampling
0.2,8,0.8322278399999999,0.4966835199999998,second_mode_support_at_least_two_detection_under_independent_sampling
0.2,10,0.8926258175999999,0.6241903615999997,second_mode_support_at_least_two_detection_under_independent_sampling
0.2,12,0.931280523264,0.7251220930559998,second_mode_support_at_least_two_detection_under_independent_sampling
0.2,20,0.9884707849539316,0.9308247097235892,second_mode_support_at_least_two_detection_under_independent_sampling
0.2,22,0.9926213023705162,0.9520384654083552,second_mode_support_at_least_two_detection_under_independent_sampling
0.3,4,0.7599,0.3483000000000001,second_mode_support_at_least_two_detection_under_independent_sampling
0.3,5,0.8319300000000001,0.4717800000000001,second_mode_support_at_least_two_detection_under_independent_sampling
0.3,8,0.94235199,0.7447016700000001,second_mode_support_at_least_two_detection_under_independent_sampling
0.3,10,0.9717524751,0.8506916541000001,second_mode_support_at_least_two_detection_under_independent_sampling
0.3,12,0.986158712799,0.914974950051,second_mode_support_at_least_two_detection_under_independent_sampling
0.3,20,0.999202077337024,0.9923627402258,second_mode_support_at_least_two_detection_under_independent_sampling
0.3,22,0.9996090178951416,0.995922615192192,second_mode_support_at_least_two_detection_under_independent_sampling
0.4,4,0.8704000000000001,0.5248000000000002,second_mode_support_at_least_two_detection_under_independent_sampling
0.4,5,0.92224,0.6630400000000001,second_mode_support_at_least_two_detection_under_independent_sampling
0.4,8,0.98320384,0.89362432,second_mode_support_at_least_two_detection_under_independent_sampling
0.4,10,0.9939533824,0.9536425984,second_mode_support_at_least_two_detection_under_independent_sampling
0.4,12,0.997823217664,0.980408958976,second_mode_support_at_least_two_detection_under_independent_sampling
0.4,20,0.9999634384155992,0.999475950623591,second_mode_support_at_least_two_detection_under_independent_sampling
0.4,22,0.9999868378296156,0.9997937926639804,second_mode_support_at_least_two_detection_under_independent_sampling
